Year,Bottom 50%,50th–90th,90th–99th,Top 1%
1/1/1990,3.5,36.2,37.6,22.8
1/1/1991,3.6,36.3,36.9,23.3
1/1/1992,3.9,36.4,36.4,23.3
1/1/1993,3.7,35.9,36.0,24.4
1/1/1994,3.5,35.7,35.2,25.6
1/1/1995,3.6,35.1,34.2,27.1
1/1/1996,3.4,35.0,34.3,27.3
1/1/1997,3.3,34.5,34.9,27.3
1/1/1998,3.3,33.9,35.2,27.6
1/1/1999,3.2,33.5,35.7,27.6
1/1/2000,3.2,33.6,35.9,27.4
1/1/2001,3.1,35.1,35.8,26.0
1/1/2002,3.0,35.6,36.1,25.3
1/1/2003,2.7,35.3,36.6,25.5
1/1/2004,2.5,34.1,36.6,26.9
1/1/2005,2.4,33.5,36.9,27.2
1/1/2006,2.3,32.3,37.4,28.0
1/1/2007,1.9,31.3,37.9,28.9
1/1/2008,1.3,31.8,38.6,28.4
1/1/2009,0.7,32.2,39.4,27.8
1/1/2010,0.5,31.2,39.9,28.5
1/1/2011,0.4,30.6,39.9,29.1
1/1/2012,0.6,30.3,39.6,29.6
1/1/2013,0.8,30.0,39.4,29.9
1/1/2014,1.0,29.3,39.3,30.5
1/1/2015,1.1,28.9,39.4,30.7
1/1/2016,1.3,28.7,39.4,30.7
1/1/2017,1.4,28.5,39.4,30.7
1/1/2018,1.6,28.5,39.6,30.4
1/1/2019,1.7,28.3,39.6,30.4
1/1/2020,2.1,29.4,38.7,29.9
1/1/2021,2.4,29.2,37.5,30.9
1/1/2022,2.7,31.1,36.6,29.7
1/1/2023,2.6,30.9,36.6,30.0
