Debt type,Foreign-owned debt,Domestic debt
Apr-24,7.923E+12,2.6694E+13
Dec-23,7.9329E+12,2.60681E+13
Dec-22,7.43908E+12,2.50342E+13
Dec-21,8.51632E+12,2.40692E+13
Dec-20,8.32678E+12,2.43493E+13
Dec-19,8.16982E+12,1.95249E+13
Dec-18,7.65556E+12,1.91739E+13
Dec-17,7.72862E+12,1.77693E+13
Dec-16,7.62672E+12,1.77533E+13
Dec-15,7.96833E+12,1.65714E+13
Dec-14,8.04449E+12,1.5654E+13
Dec-13,7.62439E+12,1.52135E+13
Dec-12,7.44657E+12,1.45065E+13
Dec-11,6.80226E+12,1.38883E+13
Dec-10,6.18001E+12,1.34483E+13
Dec-09,5.23452E+12,1.22527E+13
Dec-08,4.48998E+12,1.11211E+13
Dec-07,3.43365E+12,1.00448E+13
Dec-06,3.19682E+12,9.99721E+12
Dec-05,3.17018E+12,9.56415E+12
Dec-04,2.9809E+12,9.26315E+12
Dec-03,2.53502E+12,9.11067E+12
Dec-02,2.09517E+12,8.76558E+12
Dec-01,1.80558E+12,8.51129E+12
Dec-00,1.7897E+12,8.19188E+12
