State,Status
Massachusetts,Fully legal
Maryland,Fully legal
Alaska,Fully legal
Arizona,Fully legal
California,Fully legal
Colorado,Fully legal
Connecticut,Fully legal
District of Columbia,Fully legal
Delaware,Fully legal
Illinois,Fully legal
Maine,Fully legal
Michigan,Fully legal
Minnesota,Fully legal
Missouri,Fully legal
Montana,Fully legal
New Jersey,Fully legal
New Mexico,Fully legal
Nevada,Fully legal
New York,Fully legal
Oregon,Fully legal
Rhode Island,Fully legal
Virginia,Fully legal
Vermont,Fully legal
Washington,Fully legal
Louisiana,Medicinally legal
North Dakota,Medicinally legal
Nebraska,Fully illegal
New Hampshire,Medicinally legal
Ohio,Fully legal
Oklahoma,Medicinally legal
Pennsylvania,Medicinally legal
South Carolina,Fully illegal
South Dakota,Medicinally legal
Utah,Medicinally legal
West Virginia,Medicinally legal
Wyoming,Fully illegal
Georgia,Low-THC cannabis oil (CBD oil)
Iowa,Low-THC cannabis oil (CBD oil)
Indiana,Low-THC cannabis oil (CBD oil)
Kentucky,Low-THC cannabis oil (CBD oil)
Tennessee,Low-THC cannabis oil (CBD oil)
Texas,Low-THC cannabis oil (CBD oil)
Wisconsin,Low-THC cannabis oil (CBD oil)
Alabama,Medicinally legal
Arkansas,Medicinally legal
Florida,Medicinally legal
Hawaii,Medicinally legal
Idaho,Fully illegal
Kansas,Fully illegal
Mississippi,Medicinally legal
North Carolina,Fully illegal
