Industry Sector,Annual 10th percentile wage
Mining,       89270
Manufacturing,      106590
Management of companies and enterprises,      109920
Information,      119860
Utilities,      103820
Retail trade,       73530
Real estate and rental and leasing,       88070
Wholesale trade,       88070
Finance and insurance,      100000
"Arts, entertainment, and recreation",       82240
Accommodation and food services,       84340
Educational services,       85200
Construction,       75990
"Cross-industry, private ownership only",       66070
"Cross-industry, private, federal, state, and local government",       66470
"Professional, scientific, and technical services",       63950
Other services ,       67700
"Federal, state, and local government (OEWS Designation)",       67160
Health care and social assistance,       47840
