State,Minimum Wage Status
Alabama,No state minimum wage law
Alaska,Higher than federal minimum wage
Arizona,Higher than federal minimum wage
Arkansas,Higher than federal minimum wage
California,Higher than federal minimum wage
Colorado,Higher than federal minimum wage
Connecticut,Higher than federal minimum wage
Delaware,Higher than federal minimum wage
District of Columbia,Higher than federal minimum wage
Florida,Higher than federal minimum wage
Georgia,Lower than federal minimum wage
Hawaii,Higher than federal minimum wage
Idaho,Same as federal minimum wage
Illinois,Higher than federal minimum wage
Indiana,Same as federal minimum wage
Iowa,Same as federal minimum wage
Kansas,Same as federal minimum wage
Kentucky,Same as federal minimum wage
Louisiana,No state minimum wage law
Maine,Higher than federal minimum wage
Maryland,Higher than federal minimum wage
Massachusetts,Higher than federal minimum wage
Michigan,Higher than federal minimum wage
Minnesota,Higher than federal minimum wage
Mississippi,No state minimum wage law
Missouri,Higher than federal minimum wage
Montana,Higher than federal minimum wage
Nebraska,Higher than federal minimum wage
Nevada,Higher than federal minimum wage
New Hampshire,Same as federal minimum wage
New Jersey,Higher than federal minimum wage
New Mexico,Higher than federal minimum wage
New York,Higher than federal minimum wage
North Carolina,Same as federal minimum wage
North Dakota,Same as federal minimum wage
Ohio,Higher than federal minimum wage
Oklahoma,Same as federal minimum wage
Oregon,Higher than federal minimum wage
Pennsylvania,Same as federal minimum wage
Rhode Island,Higher than federal minimum wage
South Carolina,No state minimum wage law
South Dakota,Higher than federal minimum wage
Tennessee,No state minimum wage law
Texas,Same as federal minimum wage
Utah,Same as federal minimum wage
Vermont,Higher than federal minimum wage
Virginia,Higher than federal minimum wage
Washington,Higher than federal minimum wage
West Virginia,Higher than federal minimum wage
Wisconsin,Same as federal minimum wage
Wyoming,Lower than federal minimum wage
