State/Union Territory,Total Active Registered Voters
Alabama,3438213.0
Alaska,595647.0
American Samoa,16341.0
Arizona,4275729.0
Arkansas,1408061.0
California,21795538.0
Colorado,3803762.0
Connecticut,2335860.0
Delaware,711287.0
District of Columbia,517890.0
Florida,14517002.0
Georgia,7194889.0
Guam,55896.0
Hawaii,759971.0
Idaho,1029763.0
Illinois,9103542.0
Indiana,4170353.0
Iowa,2094770.0
Kansas,1764949.0
Kentucky,3319307.0
Louisiana,2963901.0
Maine,1135008.0
Maryland,4142347.0
Massachusetts,4400254.0
Michigan,7209300.0
Minnesota,3731016.0
Mississippi,1982632.0
Missouri,3963980.0
Montana,675971.0
Nebraska,1168708.0
Nevada,1835401.0
New Hampshire,1087145.0
New Jersey,5896836.0
New Mexico,1255669.0
New York,12362997.0
North Carolina,6607121.0
North Dakota,
Northern Mariana Islands,18526.0
Ohio,8073829.0
Oklahoma,2021846.0
Oregon,2944588.0
Pennsylvania,8280348.0
Puerto Rico,2355894.0
Rhode Island,735195.0
South Carolina,3535061.0
South Dakota,578683.0
Tennessee,4226928.0
Texas,15279870.0
U.S. Virgin Islands,53341.0
Utah,1713297.0
Vermont,440920.0
Virginia,5763187.0
Washington,4892871.0
West Virginia,1062685.0
Wisconsin,3834164.0
Wyoming,303049.0
U.S. Total,209441338.0
