State, Number of Amish People
Arkansas, 225
Colorado, 1020
Delaware, 1990
Florida, 100
Idaho, 115
Illinois, 9050
Indiana, 65540
Iowa, 10540
Kansas, 2650
Kentucky, 15915
Maine, 1245
Maryland, 1995
Michigan, 20690
Minnesota, 5560
Mississippi, 130
Missouri, 17635
Montana, 1520
Nebraska, 585
New Brunswick, 125
New Mexico, 30
New York, 24325
North Carolina, 310
Ohio, 85965
Oklahoma, 730
Ontario, 5785
Pennsylvania, 92660
Prince Edward Island, 280
South Dakota, 90
Tennessee, 4030
Texas, 75
Vermont, 140
Virginia, 2210
West Virginia, 750
Wisconsin, 26365
Wyoming, 535
